;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ъ;ы;ь;э;ю;я; 
а;7;801;3141;967;2131;1095;0;992;3139;152;644;3940;8189;3348;4367;40;905;3043;4132;3897;87;151;1097;95;835;850;311;0;0;0;1;1028;2131;16711
б;662;1;59;10;11;2142;1;16;9;783;0;88;829;73;299;2347;0;1140;162;9;1145;0;59;2;10;14;201;131;3245;57;2;10;414;208
в;6347;22;65;36;382;4978;0;0;315;3208;0;257;907;145;1281;6733;225;795;2492;220;700;0;50;31;69;1299;27;10;2617;185;0;1;330;6447
г;1252;0;18;0;994;352;0;0;0;801;0;84;1067;3;236;8059;0;915;18;2;568;0;0;0;29;6;0;0;0;0;0;0;0;611
д;4167;41;1065;23;39;4028;1;27;13;2119;0;375;478;86;1779;4645;121;1727;400;101;1682;0;34;171;44;126;0;33;764;628;0;19;374;1241
е;53;1233;2349;3042;2977;1925;0;820;1778;181;2207;1263;5257;4047;7229;243;999;6097;4295;4112;174;48;528;214;1143;812;679;0;0;0;1;222;182;16757
ё;0;1;0;1;0;0;0;1;0;0;0;0;0;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
ж;1270;51;2;11;720;2611;0;17;0;1616;0;124;9;12;782;36;0;3;21;4;240;0;0;3;31;0;0;0;0;46;0;3;0;74
з;4696;227;879;322;1060;541;0;97;60;564;0;186;244;303;1725;625;31;296;16;13;315;0;0;20;32;15;0;40;514;127;0;1;254;1630
и;107;611;2779;432;1134;2434;0;389;2383;766;1414;1824;4149;2985;3228;189;309;889;2894;3122;70;57;2246;944;1616;512;301;0;0;0;1;304;1739;19726
й;3;15;5;16;160;2;0;0;1;1;0;121;15;48;449;24;4;3;547;283;1;0;1;45;140;73;3;0;0;0;2;0;1;8079
к;6624;1;301;3;2;692;0;28;50;3041;0;8;603;11;460;8046;6;1820;226;787;1629;0;20;23;3;29;0;0;0;0;0;2;0;4048
л;6161;54;23;175;94;4385;2;233;34;7539;0;453;126;17;309;5776;90;0;996;63;1352;3;4;0;111;13;3;0;789;3603;0;892;1372;4510
м;2663;39;26;26;44;3494;0;0;6;3512;0;129;316;32;1369;2873;70;41;239;60;1711;34;1;13;22;4;5;0;966;92;0;0;507;7684
н;10333;3;33;95;717;8980;1;10;18;8225;0;345;8;0;3274;9621;0;47;489;660;2259;34;4;409;203;2;122;0;3783;1035;4;176;1338;2589
о;12;3540;7315;4428;5210;2241;0;1732;1343;685;4273;2475;5707;5464;5520;231;1464;6478;6542;5908;69;119;502;58;1658;953;276;0;0;0;24;641;671;17654
п;1835;0;0;0;0;2466;0;0;0;937;0;94;920;0;127;9111;52;5955;31;96;827;1;0;10;20;7;1;0;237;65;0;0;259;49
р;7706;81;378;158;274;6797;2;283;88;4614;0;375;88;225;955;7705;93;40;379;723;2611;41;216;43;117;193;21;0;1587;544;0;144;1184;878
с;1759;95;1507;36;174;3168;11;14;22;1250;0;3669;2487;657;1179;2594;1541;230;784;11811;707;15;210;41;293;99;3;21;426;3036;0;194;3669;2756
т;5085;40;2402;24;165;5091;0;4;13;3836;0;754;245;52;1068;11305;98;2619;1126;70;1469;11;23;62;121;7;5;34;1613;4804;0;54;593;4520
у;81;590;533;1257;1770;202;0;1049;275;8;145;653;1080;975;293;6;668;559;1148;1709;1;47;502;17;854;784;399;0;0;0;4;984;48;6226
ф;161;0;0;0;0;200;0;0;0;282;0;3;47;5;17;186;0;92;13;19;63;3;0;0;0;0;0;0;10;11;0;0;4;29
х;554;0;182;2;5;56;0;0;0;248;0;0;190;33;168;1917;0;163;109;32;232;0;1;0;1;14;0;4;0;0;4;0;1;4359
ц;643;0;77;0;1;764;0;0;0;434;0;65;3;0;0;163;0;0;0;4;157;0;0;0;0;0;0;0;295;0;0;0;0;230
ч;2055;0;12;0;0;2993;0;0;0;1615;0;449;21;3;816;53;0;35;0;2232;642;0;0;0;0;93;0;0;0;341;0;0;0;534
ш;1092;0;29;0;0;2258;0;0;0;1882;0;513;519;15;376;241;17;9;1;85;369;0;0;2;1;0;0;0;0;461;0;3;0;63
щ;507;0;1;0;0;1547;0;0;0;1034;0;0;0;0;42;8;0;2;0;0;140;0;0;0;0;0;0;0;0;43;0;0;0;46
ъ;0;0;0;0;0;164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;107;0
ы;0;143;1250;84;145;1403;0;43;84;2;1275;275;1988;1478;273;2;182;301;685;600;1;0;1342;7;104;471;17;0;0;0;0;0;24;4667
ь;0;100;31;38;18;446;1;2;128;85;0;856;1;157;1431;8;6;0;1023;79;0;1;2;77;123;516;23;0;0;0;0;574;363;8990
э;0;0;5;0;3;0;0;0;7;0;10;33;24;17;11;0;16;10;3;2166;0;6;13;0;0;12;0;0;0;0;0;0;0;4
ю;0;231;1;41;323;1;0;12;50;3;5;39;16;12;35;0;2;712;148;409;0;2;16;113;88;53;633;0;0;0;0;40;2;3197
я;0;76;267;168;528;127;0;156;304;20;62;162;841;511;716;0;32;66;511;1309;1;0;232;49;128;5;264;0;0;0;0;139;117;10411
 ;2392;6142;15439;3620;7270;3284;2;1761;4713;10111;7;8851;2808;5261;15002;10406;16168;4456;15027;6728;3645;572;1172;387;4098;974;76;0;0;1;2297;751;1518;0
